City,Area,Frontage,Floors,Bedrooms,Bathrooms,Legal status,Price
Vĩnh Long,0.5909422936449963,0.5,0.5,0.375,0.375,Have certificate,0.7238095238095237
Tuyên Quang,0.4156318480642805,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.619047619047619
Yên Bái,0.6347699050401753,0.875,0.6666666666666666,0.375,0.375,Sale contract,0.7523809523809524
Hậu Giang,0.3718042366691015,0.5,0.1666666666666666,0.125,0.375,Have certificate,0.4142857142857142
Hà Giang,0.6493791088385683,0.5,0.1666666666666666,0.625,0.625,Have certificate,0.5619047619047619
Vĩnh Long,0.6420745069393717,1.0,0.3333333333333333,0.375,0.375,Have certificate,0.8380952380952381
Sơn La,0.4448502556610664,0.375,0.6666666666666666,0.375,0.375,Have certificate,0.5904761904761905
Hậu Giang,0.5178962746530313,0.625,0.6666666666666666,0.625,0.875,Have certificate,0.8476190476190476
Hậu Giang,0.3279766252739226,0.5,0.6666666666666666,1.0,0.375,Have certificate,0.4476190476190476
Hưng Yên,0.6420745069393717,1.0,0.6666666666666666,0.375,0.375,Have certificate,0.8095238095238094
Hà Giang,0.5617238860482103,0.625,0.6666666666666666,1.0,1.0,Have certificate,0.8571428571428571
Hải Phòng,0.4886778670562454,0.875,0.6666666666666666,1.0,0.375,Have certificate,0.8380952380952381
Bình Định,0.4156318480642805,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.7523809523809524
Nam Từ Liêm,0.6420745069393717,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.7238095238095237
Bến Tre,0.6785975164353543,0.875,0.5,0.375,0.375,Sale contract,0.8190476190476189
Bình Định,0.1964937910883857,0.5,0.1666666666666666,0.125,0.125,Have certificate,0.2657142857142857
Bình Dương,1.0,1.0,0.3333333333333333,1.0,0.375,Have certificate,0.8
Nam Từ Liêm,0.6420745069393717,1.0,0.3333333333333333,0.375,0.375,Have certificate,0.8571428571428571
Nam Từ Liêm,0.4521548575602629,0.625,0.6666666666666666,0.875,0.625,Sale contract,0.6476190476190475
