City,Area,Frontage,Floors,Bedrooms,Bathrooms,Legal status,Price
Vĩnh Long,83.99999999999999,4.5,4.0,3.0,3.0,Have certificate,8.599999999999998
Tuyên Quang,60.00000000000001,4.5,5.0,3.0,3.0,Have certificate,7.499999999999999
Yên Bái,90.0,6.0,5.0,3.0,3.0,Sale contract,8.9
Hậu Giang,54.0,4.5,1.9999999999999996,2.0,3.0,Have certificate,5.349999999999999
Hà Giang,92.0,4.5,1.9999999999999996,4.0,4.0,Have certificate,6.9
Vĩnh Long,90.99999999999999,6.5,3.0,3.0,3.0,Have certificate,9.8
Sơn La,63.99999999999999,4.0,5.0,3.0,3.0,Have certificate,7.2
Hậu Giang,73.99999999999999,5.0,5.0,4.0,5.0,Have certificate,9.9
Hậu Giang,48.0,4.5,5.0,5.5,3.0,Have certificate,5.699999999999999
Hưng Yên,90.99999999999999,6.5,5.0,3.0,3.0,Have certificate,9.499999999999998
Hà Giang,79.99999999999999,5.0,5.0,5.5,5.5,Have certificate,10.0
Hải Phòng,69.99999999999999,6.0,5.0,5.5,3.0,Have certificate,9.8
Bình Định,60.00000000000001,4.5,5.0,3.0,3.0,Have certificate,8.9
Nam Từ Liêm,90.99999999999999,4.5,3.0,3.0,3.0,Have certificate,8.599999999999998
Bến Tre,96.0,6.0,4.0,3.0,3.0,Sale contract,9.599999999999998
Bình Định,30.000000000000004,4.5,1.9999999999999996,2.0,2.0,Have certificate,3.7899999999999996
Bình Dương,140.0,6.5,3.0,5.5,3.0,Have certificate,9.4
Nam Từ Liêm,90.99999999999999,6.5,3.0,3.0,3.0,Have certificate,10.0
Nam Từ Liêm,65.0,5.0,5.0,5.0,4.0,Sale contract,7.799999999999999
Bình Thuận,46.00000000000001,4.6,4.0,4.0,5.0,Have certificate,7.99
Lâm Đồng,75.0,5.0,5.0,5.5,5.0,Sale contract,8.7
Thừa Thiên Huế,100.0,4.5,3.0,3.0,3.0,Have certificate,3.2999999999999994
Yên Bái,83.99999999999999,6.0,5.0,3.0,3.0,Have certificate,9.45
Yên Bái,60.00000000000001,3.5,1.9999999999999996,5.5,5.0,Have certificate,5.599999999999999
Sơn La,140.0,6.5,1.9999999999999996,4.0,4.0,Have certificate,6.3
Nam Từ Liêm,75.0,5.0,3.0,3.0,3.0,Have certificate,7.699999999999999
Tuyên Quang,55.0,5.0,1.9999999999999996,4.0,3.0,Have certificate,3.25
Hải Phòng,78.0,6.0,5.0,3.0,3.0,Have certificate,9.589999999999998
Đường Số 11,67.39999999999999,4.0,5.0,4.0,5.5,Have certificate,9.499999999999998
Sơn La,27.99999999999999,4.5,1.9999999999999996,2.0,2.0,Have certificate,3.879999999999999
Vĩnh Long,140.0,4.5,1.9999999999999996,5.5,3.0,Have certificate,6.699999999999999
Tphcm,72.0,5.6,1.0,3.0,3.0,Have certificate,10.0
Vĩnh Long,78.0,6.0,4.0,5.5,5.5,Have certificate,8.629999999999999
Phú Thọ,67.99999999999999,4.5,3.0,4.0,5.5,Have certificate,6.5
Hưng Yên,43.0,4.5,3.0,3.0,3.0,Have certificate,5.849999999999999
Bà Rịa Vũng Tàu,32.79999999999999,4.5,5.0,3.0,3.0,Have certificate,7.499999999999999
Phú Thọ,140.0,4.5,1.9999999999999996,4.0,4.0,Have certificate,5.2
Tphcm,72.0,6.5,1.9999999999999996,2.0,2.0,Have certificate,1.9999999999999996
